GEOID,GEO.display.label,pop,pop.white,pop.not.white,pct.white,pct.not.white
17031010201,17031010201,6450,2312,4138,0.358449612,0.641550388
17031010202,17031010202,2818,1237,1581,0.438963804,0.561036196
17031010300,17031010300,6236,3267,2969,0.523893521,0.476106479
17031010400,17031010400,5042,3341,1701,0.662633875,0.337366125
17031010503,17031010503,2290,1452,838,0.634061135,0.365938865
17031010600,17031010600,6097,3459,2638,0.567328194,0.432671806
17031010701,17031010701,3864,2125,1739,0.54994824,0.45005176
17031020100,17031020100,3965,1529,2436,0.385624212,0.614375788
17031020200,17031020200,6676,4069,2607,0.609496705,0.390503295
17031020302,17031020302,4650,3051,1599,0.656129032,0.343870968
17031020400,17031020400,4168,2266,1902,0.543666027,0.456333973
17031020602,17031020602,4340,2084,2256,0.480184332,0.519815668
17031020701,17031020701,1704,1088,616,0.638497653,0.361502347
17031020702,17031020702,7194,3618,3576,0.502919099,0.497080901
17031020801,17031020801,5458,2945,2513,0.539574936,0.460425064
17031020802,17031020802,6963,2347,4616,0.337067356,0.662932644
17031020901,17031020901,5221,1839,3382,0.352231373,0.647768627
17031020902,17031020902,4286,2095,2191,0.488800747,0.511199253
17031030101,17031030101,3893,2017,1876,0.518109427,0.481890573
17031030102,17031030102,3204,1898,1306,0.592384519,0.407615481
17031030104,17031030104,3681,2398,1283,0.651453409,0.348546591
17031030601,17031030601,4012,2179,1833,0.543120638,0.456879362
17031030701,17031030701,1549,827,722,0.533892834,0.466107166
17031030702,17031030702,1630,1006,624,0.617177914,0.382822086
17031030703,17031030703,2830,1717,1113,0.606713781,0.393286219
17031030706,17031030706,3599,2373,1226,0.659349819,0.340650181
17031030800,17031030800,4326,3333,993,0.770457698,0.229542302
17031031200,17031031200,5648,2168,3480,0.383852691,0.616147309
17031031300,17031031300,7076,3590,3486,0.507348785,0.492651215
17031031400,17031031400,5150,4066,1084,0.789514563,0.210485437
17031040100,17031040100,3985,2792,1193,0.700627353,0.299372647
17031040201,17031040201,6218,4513,1705,0.725796076,0.274203924
17031040401,17031040401,3092,2369,723,0.766170763,0.233829237
17031040402,17031040402,4468,3493,975,0.781781558,0.218218442
17031040700,17031040700,3123,2471,652,0.791226385,0.208773615
17031040800,17031040800,1514,1221,293,0.806472919,0.193527081
17031040900,17031040900,1950,1634,316,0.837948718,0.162051282
17031050100,17031050100,2290,1976,314,0.862882096,0.137117904
17031050500,17031050500,4754,4203,551,0.884097602,0.115902398
17031050700,17031050700,1418,1256,162,0.885754584,0.114245416
17031050800,17031050800,1289,1139,150,0.883630721,0.116369279
17031051200,17031051200,1516,1355,161,0.893799472,0.106200528
17031051300,17031051300,2683,2340,343,0.872158032,0.127841968
17031051400,17031051400,2077,1518,559,0.73086182,0.26913818
17031060100,17031060100,2569,2236,333,0.870377579,0.129622421
17031060200,17031060200,2111,1635,476,0.774514448,0.225485552
17031060500,17031060500,1309,1001,308,0.764705882,0.235294118
17031060800,17031060800,4837,3716,1121,0.76824478,0.23175522
17031061000,17031061000,1647,1481,166,0.899210686,0.100789314
17031061100,17031061100,1379,1276,103,0.925308194,0.074691806
17031061200,17031061200,1889,1708,181,0.904182107,0.095817893
17031061500,17031061500,1707,1562,145,0.915055653,0.084944347
17031061800,17031061800,1112,889,223,0.799460432,0.200539568
17031061901,17031061901,3433,2811,622,0.818817361,0.181182639
17031062000,17031062000,2569,2251,318,0.876216427,0.123783573
17031062100,17031062100,3436,2949,487,0.858265425,0.141734575
17031062200,17031062200,2870,2560,310,0.891986063,0.108013937
17031062300,17031062300,1513,1389,124,0.918043622,0.081956378
17031062500,17031062500,1497,1286,211,0.859051436,0.140948564
17031062600,17031062600,2226,1925,301,0.864779874,0.135220126
17031062700,17031062700,2724,2400,324,0.881057269,0.118942731
17031062900,17031062900,3976,3584,392,0.901408451,0.098591549
17031063000,17031063000,2973,2536,437,0.853010427,0.146989573
17031063200,17031063200,6345,5326,1019,0.839401103,0.160598897
17031063301,17031063301,2641,2096,545,0.793638773,0.206361227
17031063302,17031063302,3996,3380,616,0.845845846,0.154154154
17031063303,17031063303,1201,1073,128,0.893422148,0.106577852
17031070102,17031070102,2413,2063,350,0.854952341,0.145047659
17031070103,17031070103,1709,1412,297,0.82621416,0.17378584
17031070200,17031070200,3900,3327,573,0.853076923,0.146923077
17031070400,17031070400,2984,2646,338,0.886729223,0.113270777
17031070500,17031070500,2928,2647,281,0.904030055,0.095969945
