model_all_details,year,brand,sub_model,miles,selling_price,value_type,engine_type
2018 Kia Niro EX Premium,2018,Kia,Niro,41599,25735,great Value,4 Cyl 1.6 L
2019 Volkswagen Jetta S,2019,Volkswagen,Jetta,11535,20797,great Value,
2018 Toyota Highlander XLE,2018,Toyota,Highlander,56011,34290,great Value,
2016 Subaru WRX Premium,2016,Subaru,WRX,82286,23995,great Value,
2018 Jeep Wrangler Sahara,2018,Jeep,Wrangler,18423,45380,great Value,
2019 Ram 1500 Laramie,2019,Ram,1500,25463,48978,great Value,
2018 Ford Explorer Limited Edition,2018,Ford,Explorer,33360,38460,great Value,
2021 Volkswagen Jetta S,2021,Volkswagen,Jetta,6198,21759,great Value,
2018 Dodge Challenger R/T,2018,Dodge,Challenger,28063,33985,great Value,
2018 GMC Acadia SLT SLT-2,2018,GMC,Acadia,73510,31187,great Value,
2018 Volkswagen Tiguan SEL Premium,2018,Volkswagen,Tiguan,40948,30687,great Value,
2019 Kia Stinger GT2,2019,Kia,Stinger,30243,41799,great Value,
2020 Volkswagen Passat S,2020,Volkswagen,Passat,22983,21591,great Value,
2019 Chevrolet Silverado 1500 LTZ,2019,Chevrolet,Silverado,15831,53588,great Value,
2019 Honda Civic Si,2019,Honda,Civic,24321,28995,great Value,
2019 Subaru Impreza 2.0i,2019,Subaru,Impreza,18015,20988,great Value,
2019 Kia Niro LX,2019,Kia,Niro,29004,25425,great Value,
2019 Subaru Crosstrek Limited,2019,Subaru,Crosstrek,35595,29999,great Value,
2019 Honda Accord EXL,2019,Honda,Accord,26738,27888,great Value,
2018 Honda Civic EX,2018,Honda,Civic,35249,22478,great Value,
2019 Mini Cooper Countryman S,2019,Mini,Cooper,42480,28898,great Value,
2016 Land Rover Discovery Sport HSE,2016,Land,Rover,84275,22988,great Value,
2013 Ford Fusion SE,2013,Ford,Fusion,96181,11995,great Value,
2016 Ford Focus SE,2016,Ford,Focus,60809,12991,great Value,
2019 Toyota Highlander XLE,2019,Toyota,Highlander,49309,37995,great Value,
2019 Toyota Highlander XLE,2019,Toyota,Highlander,49309,37995,great Value,6 Cyl 3.5 L
2018 Subaru Impreza 2.0i Limited,2018,Subaru,Impreza,32256,25444,great Value,
2020 Volkswagen Passat R-Line,2020,Volkswagen,Passat,4526,26888,great Value,
2018 Volkswagen Golf SE,2018,Volkswagen,Golf,72817,17811,great Value,
2019 Mini Cooper S,2019,Mini,Cooper,33117,27489,great Value,
2018 Hyundai Sonata SE,2018,Hyundai,Sonata,46385,17898,great Value,
2019 Toyota RAV4 XLE,2019,Toyota,RAV4,13065,33988,great Value,
2019 Kia Soul Soul!,2019,Kia,Soul,8648,23588,great Value,
2018 Honda Accord EXL,2018,Honda,Accord,13956,28488,great Value,
2019 Audi A7 Prestige,2019,Audi,A7,14115,67725,great Value,
2018 Mercedes-Benz CLA 250,2018,Mercedes-Benz,CLA,10828,30489,great Value,
2018 Volkswagen Tiguan SE,2018,Volkswagen,Tiguan,65507,25991,great Value,
2016 Chevrolet Cruze LS,2016,Chevrolet,Cruze,41943,14295,great Value,
2015 Jeep Cherokee Latitude,2015,Jeep,Cherokee,75446,17999,great Value,
2019 Toyota Highlander XLE,2019,Toyota,Highlander,34368,37000,great Value,
2019 Subaru Impreza 2.0i,2019,Subaru,Impreza,41708,21857,great Value,
2019 Volkswagen Tiguan S,2019,Volkswagen,Tiguan,27970,25477,great Value,
2019 Kia Soul+,2019,Kia,Soul+,39849,19491,great Value,
2019 Kia Sportage EX,2019,Kia,Sportage,21872,28999,great Value,
2018 Toyota Camry SE,2018,Toyota,Camry,35691,24688,great Value,
2018 Ford Focus SE,2018,Ford,Focus,152353,9990,great Value,
2019 Volkswagen Jetta S,2019,Volkswagen,Jetta,23851,19988,great Value,
2013 Toyota Sienna LE,2013,Toyota,Sienna,144888,13995,great Value,
2016 Toyota Tacoma SR5,2016,Toyota,Tacoma,101656,24996,great Value,
2019 Lexus IS 300,2019,Lexus,IS,20435,34995,great Value,
2019 Toyota Tacoma SR5,2019,Toyota,Tacoma,12306,42999,great Value,6 Cyl 3.5 L
2017 Kia Forte EX,2017,Kia,Forte,28144,19499,good Value,
2019 Mercedes-Benz AMG GT 53,2019,Mercedes-Benz,AMG,23598,97500,great Value,
2017 Hyundai Elantra Sport,2017,Hyundai,Elantra,34410,18880,great Value,
2017 Hyundai Tucson Value Edition,2017,Hyundai,Tucson,30015,23488,great Value,
2018 Hyundai Elantra Sport,2018,Hyundai,Elantra,22155,20895,great Value,
2019 Toyota Highlander XLE,2019,Toyota,Highlander,15154,39988,great Value,
2013 Toyota Corolla LE,2013,Toyota,Corolla,83923,11499,great Value,
2018 Mercedes-Benz E-Class E 400,2018,Mercedes-Benz,E-Class,20580,49491,great Value,
2018 Ford Escape S,2018,Ford,Escape,40373,18791,great Value,
2018 Volkswagen Tiguan SE,2018,Volkswagen,Tiguan,43682,25349,great Value,
2013 Ford F-150 XL,2013,Ford,F-150,194132,14995,great Value,
2019 Lexus RX 350,2019,Lexus,RX,31909,41998,great Value,
2018 Buick Enclave Essence,2018,Buick,Enclave,40815,32832,great Value,
2021 Infiniti QX50 Luxe,2021,Infiniti,QX50,2935,42888,great Value,
2020 Toyota Tacoma TRD Off Road,2020,Toyota,Tacoma,18104,43995,great Value,
2021 Subaru Legacy Touring XT,2021,Subaru,Legacy,5000,38995,great Value,
2018 Ford Escape SE,2018,Ford,Escape,43524,22995,great Value,
2019 Toyota Camry LE,2019,Toyota,Camry,15510,25995,great Value,
2017 Ford Escape Titanium,2017,Ford,Escape,79366,19906,great Value,
2017 Chevrolet Equinox Premier,2017,Chevrolet,Equinox,45452,23580,great Value,
2014 Jeep Wrangler Sahara,2014,Jeep,Wrangler,88862,29998,great Value,
2015 Volkswagen Passat SE,2015,Volkswagen,Passat,167872,9737,great Value,
2020 Dodge Charger GT,2020,Dodge,Charger,10973,36381,great Value,
2016 Kia Sorento LX,2016,Kia,Sorento,95461,16790,great Value,
2018 Toyota Camry XSE,2018,Toyota,Camry,73732,28500,great Value,6 Cyl 3.5 L
2016 Honda Civic EX,2016,Honda,Civic,40436,20999,great Value,
2019 Ford Fusion SE,2019,Ford,Fusion,8465,22491,great Value,
2018 Toyota Highlander XLE,2018,Toyota,Highlander,16556,37588,great Value,
2021 Toyota Corolla SE,2021,Toyota,Corolla,8809,24891,great Value,
2019 Kia Sportage EX,2019,Kia,Sportage,19671,27988,great Value,
2018 Volvo S60 T5 Inscription Platinum,2018,Volvo,S60,13072,28350,great Value,
2018 Ford EcoSport Titanium,2018,Ford,EcoSport,32658,21381,great Value,
2019 Subaru Impreza Sport,2019,Subaru,Impreza,44858,22492,great Value,
2017 Subaru Outback 3.6R Limited,2017,Subaru,Outback,31420,29695,great Value,
2020 Volvo XC90 T5 Momentum,2020,Volvo,XC90,12684,50730,great Value,
2018 Volvo XC90 T6 Momentum,2018,Volvo,XC90,32703,42290,great Value,
2017 Honda HR-V EX,2017,Honda,HR-V,18829,24325,great Value,
2019 Hyundai Tucson SEL,2019,Hyundai,Tucson,22589,26995,great Value,
2018 Chevrolet Malibu Premier 2LZ,2018,Chevrolet,Malibu,19742,21949,great Value,
2019 Honda Odyssey EX L,2019,Honda,Odyssey,27083,36988,great Value,
2019 Subaru Forester Limited,2019,Subaru,Forester,43570,30988,great Value,
2017 Toyota Corolla LE,2017,Toyota,Corolla,19705,19277,great Value,
2020 Acura TLX Technology,2020,Acura,TLX,16085,34388,great Value,
2012 Chevrolet Silverado 1500 LT,2012,Chevrolet,Silverado,215586,13888,great Value,
2018 Hyundai Elantra Value Edition,2018,Hyundai,Elantra,31305,17995,great Value,
2020 Volkswagen Passat R-Line,2020,Volkswagen,Passat,17491,26798,great Value,
2018 GMC Terrain SLE,2018,GMC,Terrain,32855,24384,great Value,
2012 Volvo XC60 Premier Plus,2012,Volvo,XC60,108604,11998,great Value,
2016 Honda Fit EXL,2016,Honda,Fit,21937,18971,great Value,
2016 Honda Fit EXL,2016,Honda,Fit,21937,18971,great Value,•
2019 Toyota C-HR LE,2019,Toyota,C-HR,40314,20999,great Value,
2016 Chevrolet Camaro SS 2SS,2016,Chevrolet,Camaro,40173,36488,great Value,
2019 BMW 5 Series M550i xDrive,2019,BMW,5,50454,55995,great Value,
2015 Dodge Challenger R/T Plus,2015,Dodge,Challenger,125610,23718,great Value,
2018 Jeep Grand Cherokee Overland,2018,Jeep,Grand,30902,39322,great Value,
2019 Ford F-250 Lariat,2019,Ford,F-250,19162,71999,great Value,
2018 Jeep Cherokee Trailhawk,2018,Jeep,Cherokee,34790,27068,great Value,
2019 Chevrolet Camaro LT 1LT,2019,Chevrolet,Camaro,15607,27028,great Value,
2018 Mitsubishi Mirage ES,2018,Mitsubishi,Mirage,40693,11988,great Value,
2013 Honda Accord EXL,2013,Honda,Accord,98488,15888,good Value,
2018 Maserati Ghibli Base,2018,Maserati,Ghibli,24247,42991,great Value,
2019 Toyota RAV4 XLE Premium,2019,Toyota,RAV4,13060,37491,great Value,
2018 Jaguar F-Type Base,2018,Jaguar,F-Type,10024,52991,great Value,
